dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-17,0,0,1,1,0,0
2020-03-20,1,1,0,1,0,0
2020-03-21,0,1,0,1,1,1
2020-03-22,2,3,1,2,0,1
2020-03-24,2,5,0,2,0,1
2020-03-26,1,6,0,2,0,1
2020-03-29,1,7,0,2,0,1
2020-03-30,1,8,0,2,0,1
2020-04-26,0,8,0,2,2,3
2020-05-03,451,459,95,97,87,90
2020-05-04,24,483,14,111,0,90
2020-05-05,41,524,27,138,5,95
2020-05-06,54,578,0,138,2,97
2020-05-07,29,607,13,151,5,102
2020-05-08,63,670,18,169,8,110
2020-05-09,65,735,32,201,9,119
2020-05-10,37,772,9,210,10,129
2020-05-11,54,826,44,254,3,132
2020-05-12,39,865,40,294,6,138
2020-05-13,85,950,49,343,5,143
2020-05-14,31,981,45,388,6,149
2020-05-15,43,1024,40,428,5,154
2020-05-16,65,1089,18,446,3,157
2020-05-17,46,1135,34,480,6,163
2020-05-18,61,1196,23,503,5,168
2020-05-19,61,1257,24,527,4,172
2020-05-20,69,1326,13,540,0,172
2020-05-21,47,1373,30,570,3,175
2020-05-22,21,1394,8,578,4,179
2020-05-23,43,1437,32,610,2,181
2020-05-24,52,1489,44,654,2,183
2020-05-25,28,1517,31,685,4,187
2020-05-26,58,1575,32,717,2,189
2020-05-27,57,1632,45,762,5,194
2020-05-28,94,1726,27,789,3,197
2020-05-29,71,1797,42,831,2,199
2020-05-30,80,1877,42,873,6,205
2020-05-31,72,1949,31,904,7,212
2020-06-01,54,2003,23,927,5,217
2020-06-02,116,2119,45,972,8,225
2020-06-03,99,2218,0,972,7,232
2020-06-04,94,2312,26,998,5,237
2020-06-05,101,2413,42,1040,4,241
2020-06-06,95,2508,35,1075,9,250
2020-06-07,74,2582,43,1118,7,257
2020-06-08,128,2710,39,1157,6,263
2020-06-09,132,2842,50,1207,5,268
2020-06-10,110,2952,16,1223,10,278
2020-06-11,117,3069,82,1305,4,282
2020-06-12,111,3180,20,1325,4,286
2020-06-13,158,3338,58,1383,4,290
2020-06-14,158,3496,31,1414,6,296
2020-06-15,104,3600,74,1488,4,300
2020-06-16,170,3770,62,1550,4,304
2020-06-17,143,3913,50,1600,7,311
2020-06-18,180,4093,182,1782,8,319
2020-06-19,131,4224,86,1868,6,325
2020-06-20,127,4351,300,2168,1,326
2020-06-21,126,4477,201,2369,6,332
2020-06-22,81,4558,27,2396,7,339
2020-06-23,81,4639,205,2601,3,342
2020-06-24,155,4794,133,2734,6,348
2020-06-25,163,4957,196,2930,6,354
2020-06-26,128,5085,86,3016,3,357
2020-06-27,141,5226,109,3125,5,362
2020-06-28,171,5397,147,3272,7,369
2020-06-29,180,5577,339,3611,6,375
2020-06-30,231,5808,144,3755,7,382
2020-07-01,238,6046,125,3880,7,389
2020-07-02,218,6264,162,4042,8,397
2020-07-03,182,6446,102,4144,8,405
2020-07-04,242,6688,165,4309,8,413
2020-07-05,244,6932,95,4404,8,421
2020-07-06,281,7213,144,4548,10,431
2020-07-07,291,7504,144,4692,10,441
2020-07-08,366,7870,98,4790,6,447
2020-07-09,322,8192,213,5003,13,460
2020-07-10,374,8566,204,5207,13,473
