dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-01,1,1,0,0,0,0
2020-04-03,0,1,0,0,1,1
2020-04-13,1,2,0,0,0,1
2020-04-15,3,5,0,0,0,1
2020-04-16,1,6,0,0,0,1
2020-04-17,2,8,0,0,0,1
2020-04-18,1,9,0,0,1,2
2020-04-20,2,11,0,0,0,2
2020-04-23,1,12,0,0,0,2
2020-04-24,3,15,0,0,0,2
2020-04-25,2,17,0,0,0,2
2020-04-27,3,20,0,0,0,2
2020-04-29,4,24,2,2,0,2
2020-04-30,10,34,1,3,0,2
2020-05-01,3,37,0,3,1,3
2020-05-02,1,38,2,5,0,3
2020-05-04,7,45,0,5,0,3
2020-05-05,4,49,1,6,0,3
2020-05-06,2,51,0,6,0,3
2020-05-08,6,57,0,6,0,3
2020-05-09,2,59,3,9,1,4
2020-05-10,2,61,18,27,0,4
2020-05-11,4,65,6,33,0,4
2020-05-13,1,66,0,33,0,4
2020-05-14,2,68,4,37,0,4
2020-05-15,0,68,11,48,1,5
2020-05-16,1,69,0,48,0,5
2020-05-17,2,71,1,49,1,6
2020-05-18,0,71,4,53,0,6
2020-05-19,0,71,1,54,0,6
2020-05-20,0,71,2,56,0,6
2020-05-21,1,72,2,58,0,6
2020-05-22,0,72,3,61,0,6
2020-05-23,0,72,2,63,0,6
2020-05-24,2,74,0,63,0,6
2020-05-25,3,77,4,67,0,6
2020-05-26,1,78,0,67,1,7
2020-05-27,1,79,1,68,0,7
2020-05-28,2,81,0,68,0,7
2020-05-29,1,82,2,70,0,7
2020-05-30,3,85,0,70,0,7
2020-05-31,3,88,1,71,3,10
2020-06-01,1,89,1,72,0,10
2020-06-02,2,91,0,72,0,10
2020-06-03,3,94,0,72,0,10
2020-06-04,3,97,0,72,0,10
2020-06-05,0,97,2,74,0,10
2020-06-06,4,101,0,74,0,10
2020-06-07,0,101,3,77,1,11
2020-06-08,4,105,1,78,1,12
2020-06-09,3,108,2,80,1,13
2020-06-10,1,109,1,81,0,13
2020-06-11,1,110,2,83,0,13
2020-06-12,3,113,3,86,0,13
2020-06-13,5,118,0,86,0,13
2020-06-14,1,119,0,86,1,14
2020-06-15,7,126,0,86,0,14
2020-06-16,5,131,2,88,1,15
2020-06-17,0,131,3,91,0,15
2020-06-18,2,133,0,91,0,15
2020-06-19,1,134,7,98,0,15
2020-06-20,1,135,5,103,0,15
2020-06-21,4,139,4,107,0,15
2020-06-22,1,140,3,110,0,15
2020-06-23,4,144,4,114,0,15
2020-06-24,9,153,0,114,0,15
2020-06-25,6,159,3,117,0,15
2020-06-26,4,163,7,124,0,15
2020-06-27,5,168,3,127,0,15
2020-06-28,2,170,3,130,0,15
2020-06-29,3,173,3,133,-1,14
2020-06-30,5,178,1,134,0,14
2020-07-01,5,183,1,135,0,14
2020-07-02,4,187,7,142,0,14
2020-07-03,13,200,3,145,1,15
2020-07-04,2,202,4,149,0,15
2020-07-05,6,208,5,154,0,15
2020-07-06,8,216,0,154,0,15
2020-07-07,4,220,4,158,0,15
2020-07-08,1,221,3,161,0,15
2020-07-09,3,224,3,164,0,15
2020-07-10,7,231,3,167,0,15
